Year,Country,Area_harvested,Yield ,Production
1991,Romania ,2154318,25406,5473156
1992,Romania ,1460798,21950,3206382
1993,Romania ,2281621,23291,5314104
1994,Romania ,2412120,25435,6135299
1995,Romania ,2480832,30903,7666538
1996,Romania ,1781704,17645,3143818
1997,Romania ,2377199,30103,7156188
1998,Romania ,1995862,25963,5181823
1999,Romania ,1665189,27993,4661439
2000,Romania ,1928328,22996,4434438
2001,Romania ,2540354,30449,7735136
2002,Romania ,2148196,20580,4420995
2003,Romania ,1410944,17570,2479052
2004,Romania ,2246595,34775,7812428
2005,Romania ,2448129,29985,7340664
2006,Romania ,1992358,27737,5526190
2007,Romania ,1890921,16100,3044465
2008,Romania ,2098369,34222,7180984
2009,Romania ,2140549,24305,5202526
2010,Romania ,2152523,27000,5811810
2011,Romania ,1945849,36650,7131590
2012,Romania ,1992180,26593,5297748
2013,Romania ,2097490,34786,7296373
2014,Romania ,2107813,35984,7584814
2015,Romania ,2102444,37872,7962421
2016,Romania ,2135304,39484,8431131
2017,Romania ,2052920,48881,10034960
