Y1973,7,12363178,9055977,13652,20846.065
Y1973,8,11987000,8948257,13396,13486.438
Y1973,9,9995657,2299046,43477,78936.165
Y1973,10,7442570,5970649,12465,63059.481
Y1974,1,40865746,27034304,15116,923937.815
Y1974,2,48496688,26453120,18333,217218.393
Y1974,3,21778000,18583008,11719,607050.255
Y1974,4,19007008,4146000,45844,52646.198
Y1974,5,13303500,8938000,14884,22838.19
Y1974,6,11080000,8808000,12579,38370.241
Y1974,7,11571647,8374975,13817,21184.323
Y1974,8,11357000,8307541,13671,13662.048
Y1974,9,10914574,2359547,46257,78917.22
Y1974,10,7628503,6112691,12480,64870.833
Y1975,1,45313042,27634276,16397,941655.385
Y1975,2,57886448,28124848,20582,219205.296
Y1975,3,24104400,18010304,13384,621301.72
Y1975,4,15013000,3875900,38734,53010.73
Y1975,5,17080608,9478739,18020,23156.209
Y1975,6,14830000,9309000,15931,39277.211
Y1975,7,12161946,8612882,14121,21506.855
Y1975,8,11982000,8555202,14006,13831.206
Y1975,9,9749836,2257525,43188,78866.498
Y1975,10,7673440,5812310,13202,66787.901
Y1976,1,50386232,28380502,17754,958142.619
Y1976,2,58481200,28702736,20375,221239.215
Y1976,3,28846304,20453808,14103,635771.734
Y1976,4,16126000,4275000,37722,53295.791
Y1976,5,23587200,11251700,20963,23456.507
Y1976,6,16577500,9282500,17859,40189.511
Y1976,7,12188228,9060026,13453,21811.92
Y1976,8,11800000,8956259,13175,13994.623
Y1976,9,9416595,2393376,39344,78794.496
Y1976,10,8690713,6110599,14222,68813.22
Y1977,1,41076295,28037566,14650,973487.475
Y1977,2,55671056,26986496,20629,223324.042
Y1977,3,29009904,20921504,13866,650485.03
Y1977,4,17450000,4125000,42303,53516.213
Y1977,5,19858208,10115400,19632,23741.589
Y1977,6,16720000,9365000,17854,41108.248
Y1977,7,9724425,10051128,9675,22101.729
Y1977,8,9370336,9954865,9413,14152.065
Y1977,9,10149096,2330285,43553,78701.801
Y1977,10,9143873,6390069,14310,70946.231
Y1978,1,53842395,29184159,18449,988046.366
Y1978,2,48322656,22862960,21136,225449.657
Y1978,3,31749200,21455696,14798,665502.284
Y1978,4,20967712,4166600,50323,53696.453
Y1978,5,21136800,10575100,19987,24014.082
Y1978,6,16764000,9296000,18034,42039.935
Y1978,7,18418816,10339904,17813,22387.772
Y1978,8,18090000,10248895,17651,14309.298
Y1978,9,11265143,2305177,48869,78589.311
Y1978,10,8367200,6360000,13156,73194.937
Y1979,1,62732521,29320977,21395,1002328.135
Y1979,2,58080576,25274512,22980,227599.878
Y1979,3,35507808,22641200,15683,680915.804
Y1979,4,19544000,4087000,47820,53872.444
Y1979,5,17196000,10523100,16341,24278.047
Y1979,6,17569008,9380000,18730,42993.991
Y1979,7,16483098,11239928,14665,22685.176
Y1979,8,16188000,11152714,14515,14473.242
Y1979,9,11177128,2339502,47776,78454.848
Y1979,10,9950000,6687100,14879,75567.682
Y1980,1,55212839,29191137,18914,1016748.267
Y1980,2,64799504,28783600,22513,229763.052
Y1980,3,31830000,22171696,14356,696783.517
Y1980,4,23781008,4590000,51810,54070.817
Y1980,5,19292000,11208400,17212,24537.422
Y1980,6,16554000,8956000,18484,43975.921
Y1980,7,11162018,11369238,9818,23005.068
Y1980,8,10856000,11283051,9622,14649.114
Y1980,9,11253864,2374806,47389,78300.65
Y1980,10,10856500,6923700,15680,78068.144
Y1981,1,59642710,28279019,21091,1031273.506
Y1981,2,75806304,32635008,23229,231938.963
Y1981,3,36312608,22278800,16299,713118.032
Y1981,4,23762000,4742000,50110,54298.045
Y1981,5,24802000,12426600,19959,24791.139
Y1981,6,17050000,9288000,18357,44988.356
Y1981,7,16685983,11966429,13944,23351.573
Y1981,8,16360000,11885000,13765,14838.494
Y1981,9,11254906,2306455,48797,78126.104
Y1981,10,11474600,6983700,16431,80696.945
Y1982,1,68472314,27928016,24517,1045911.681
Y1982,2,75251296,31540304,23859,234132.632
Y1982,3,37451808,22144400,16913,729868.013
Y1982,4,25358000,4843000,52360,54547.688
Y1982,5,26715008,12521000,21336,25040.948
Y1982,6,17542000,9031000,19424,46025.357
Y1982,7,9168203,11591525,7909,23722.342
Y1982,8,8875571,11519662,7705,15041.065
Y1982,9,11370906,2168642,52433,77944.848
Y1982,10,11304200,7222900,15651,83445.863
Y1983,1,81391570,29051110,28017,1061153.049
Y1983,2,65857904,24843296,26509,236344.004
Y1983,3,42793904,23567408,18158,746949.067
Y1983,4,24745008,4826000,51274,54817.832
Y1983,5,26465008,13680500,19345,25296.84
Y1983,6,16437000,9257414,17755,47073.422
Y1983,7,22317206,13001996,17164,24113.313
Y1983,8,22016000,12930637,17026,15257.358
Y1983,9,12548219,2409210,52084,77790.08
Y1983,10,12414400,7397900,16781,86297.64
Y1984,1,87817368,29577481,29691,1077602.916
Y1984,2,70618000,27085008,26073,238573.861
Y1984,3,45476000,24672000,18432,764245.202
Y1984,4,32977008,5105000,64597,55102.743
Y1984,5,21187904,13160900,16099,25571.673
Y1984,6,17235008,8982570,19187,48114.105
Y1984,7,18980832,12147013,15626,24517.512
Y1984,8,18666032,12078000,15455,15487.214
Y1984,9,14125965,2380860,59331,77704.336
Y1984,10,10881900,7343200,14819,89228.949
Y1985,1,85807133,29219053,29367,1095614.685
Y1985,2,65975008,26184000,25197,240824.12
Y1985,3,44068800,23564896,18701,781666.671
Y1985,4,28784000,4797400,59999,55397.482
Y1985,5,24252000,13729000,17665,25873.949
Y1985,6,17032000,9274500,18364,49133.883
Y1985,7,16308958,11754043,13875,24929.397
Y1985,8,15999000,11682000,13695,15729.643
Y1985,9,13801524,2367540,58295,77717.431
Y1985,10,11703000,7258500,16123,92219.488
Y1986,1,90043693,29617134,30403,1115455.674
Y1986,2,56897008,24559008,23167,243098.935
Y1986,3,47051808,22997408,20460,799181.436
Y1986,4,26474784,4858900,54487,55704.494
Y1986,5,31378000,14229400,22052,26208.08
Y1986,6,19032000,9355932,20342,50128.489
Y1986,7,16499272,11226664,14697,25348.398
Y1986,8,16119000,11135000,14476,15986.164
Y1986,9,14601295,2396842,60919,77837.5
Y1986,10,13923000,7403300,18806,95264.46
Y1987,1,85904702,28799224,29829,1136800.371
Y1987,2,57361808,22646000,25330,245402.864
Y1987,3,44322896,23131200,19162,816792.741
Y1987,4,27414576,4932100,55584,56024.508
Y1987,5,25945000,13457700,19279,26569.766
Y1987,6,18932000,9310681,20334,51100.878
Y1987,7,12624063,9088123,13891,25775.162
Y1987,8,12287000,9005000,13645,16254.935
Y1987,9,13971181,2418963,57757,78054.086
Y1987,10,12015900,7706200,15593,98357.473
Y1988,1,85432957,28785660,29679,1158666.859
Y1988,2,49320000,21525008,22913,247739.582
Y1988,3,46169408,23062704,20019,834489.322
Y1988,4,29038496,4721000,61509,56348.214
Y1988,5,15913000,12944300,12293,26947.842
Y1988,6,20523008,9387855,21861,52053.704
Y1988,7,14141050,8877481,15929,26206.73
Y1988,8,13935000,8826822,15787,16527.43
Y1988,9,15620731,2508698,62266,78354.017
Y1988,10,12675100,7308400,17343,101474.835
Y1989,1,90810047,29842187,30430,1179693.763
Y1989,2,55428000,25167008,22024,250113.187
Y1989,3,54110208,24109104,22444,852270.034
Y1989,4,31822304,5013000,63480,56663.204
Y1989,5,24796208,13717500,18076,27326.166
Y1989,6,16221000,9227000,17580,52992.429
Y1989,7,14349715,9041908,15870,26639.715
Y1989,8,14214495,9003872,15787,16792.294
Y1989,9,14509067,2553725,56815,78715.61
Y1989,10,14419200,7729600,18655,104588.49
Y1990,1,98231940,30754285,31941,1198882.292
Y1990,2,74294000,27965000,26567,252529.95
Y1990,3,49849504,23501904,21211,870133.48
Y1990,4,33345808,5147000,64787,56960.835
Y1990,5,32098000,14097500,22769,27692.68
Y1990,6,20022000,9432309,21227,53921.699
Y1990,7,15254292,9256796,16479,27071.461
Y1990,8,15066100,9218091,16344,17041.431
Y1990,9,15241870,2429610,62734,79118.326
Y1990,10,14315500,7844500,18249,107678.614
Y1991,1,95953581,30949062,31004,1215910.174
Y1991,2,53890000,23392000,23038,254974.819
Y1991,3,55134496,24167104,22814,888054.875
Y1991,4,34362204,5146847,66764,57237.702
Y1991,5,31945600,14160900,22559,28044.606
Y1991,6,20400000,9582839,21288,54840.531
Y1991,7,10738398,7220750,14872,27501.305
Y1991,8,10557400,7183000,14698,17271.874
Y1991,9,16611967,2453332,67712,79564.454
Y1991,10,14565000,7911400,18410,110730.42
Y1992,1,101591334,30497210,33312,1231002.333
Y1992,2,67136000,25398800,26433,257454.273
Y1992,3,55689504,23261904,23940,906021.106
Y1992,4,32490755,5077312,63992,57496.974
Y1992,5,29877200,13830300,21603,28384.35
Y1992,6,19300000,9458687,20405,55748.875
Y1992,7,14929940,8312521,17961,27929.031
Y1992,8,14738678,8274614,17812,17485.948
Y1992,9,15541661,2598471,59811,80046.157
Y1992,10,15684200,7877600,19910,113747.135
Y1993,1,106394921,30236410,35188,1244385.717
Y1993,2,65222000,25378900,25699,260020.186
Y1993,3,57210100,24588900,23267,924057.817
Y1993,4,29200263,4510466,64739,57744.82
Y1993,5,27255900,12374000,22027,28711.303
Y1993,6,21000000,9703487,21642,56653.729
Y1993,7,16698510,8424041,19822,28353.141
Y1993,8,16479000,8383000,19658,17687.479
Y1993,9,15766533,2394642,65841,80520.088
Y1993,10,16156500,8299700,19466,116749.56
Y1994,1,99301440,28981966,34263,1256499.031
Y1994,2,63168000,24997000,25270,262741.566
Y1994,3,59840000,25147300,23796,942204.249
Y1994,4,30493197,4572752,66685,57990.661
Y1994,5,22919500,10773000,21275,29026.188
Y1994,6,17500000,9735917,17975,57564.132
Y1994,7,9202990,7935428,11597,28772.099
Y1994,8,8961000,7890690,11356,17882.737
Y1994,9,16480510,2434910,67684,80931.041
Y1994,10,15213000,8034200,18935,119769.556
Y1995,1,102211429,28861315,35415,1267694.303
Y1995,2,59404000,24685000,24065,265658.849
Y1995,3,65767400,25700000,25590,960482.795
Y1995,4,30869729,4743444,65079,58241.791
Y1995,5,24989400,11122700,22467,29330.073
Y1995,6,18000000,9319180,19315,58486.381
Y1995,7,16749270,9273232,18062,29185.314
Y1995,8,16504000,9220820,17899,18076.743
Y1995,9,17763312,2578793,68882,81240.604
Y1995,10,17002400,8169800,20811,122829.148
Y1996,1,110569193,29611057,37341,1277980.948
Y1996,2,61982000,25414000,24389,268803.424
Y1996,3,62097400,25011000,24828,978893.217
Y1996,4,35935157,5035701,71361,58499.689
Y1996,5,29801400,12262000,24304,29622.132
